Name,Amount of episodes,Duration,Rating
Quanzhi Gaoshou Specials,ONA (3 eps),Apr 2018 - May 2018,8.24
Youjo Senki Movie,Movie (1 eps),Feb 2019 - Feb 2019,8.24
Yuukoku no Moriarty Part 2,TV (13 eps),Apr 2021 - Jun 2021,8.24
86,TV (11 eps),Apr 2021 - Jun 2021,8.24
Detective Conan: Episode One - The Great Detective Turned Small,Special (1 eps),Dec 2016 - Dec 2016,8.23
Dororo,TV (24 eps),Jan 2019 - Jun 2019,8.23
Douluo Dalu: Xiaowu Juebie,ONA (13 eps),May 2020 - Aug 2020,8.23
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Movie (4 eps),Nov 2019 - Nov 2019,8.23
Golden Kamuy 2nd Season,TV (12 eps),Oct 2018 - Dec 2018,8.23
Hajime no Ippo: Mashiba vs. Kimura,OVA (1 eps),Sep 2003 - Sep 2003,8.23
Kuroko no Basket 2nd Season,TV (25 eps),Oct 2013 - Mar 2014,8.23
Magi: The Kingdom of Magic,TV (25 eps),Oct 2013 - Mar 2014,8.23
Major S1,TV (26 eps),Nov 2004 - May 2005,8.23
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV (25 eps),Oct 2016 - Apr 2017,8.23
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV (13 eps),Apr 2015 - Jun 2015,8.23
Majo no Takkyuubin,Movie (1 eps),Jul 1989 - Jul 1989,8.22
